4.61	5 59 41.2	73 25 39	!KKH 34   D(MPC) RAH RAM RAS DECD DECM DES
3.39	6 47 45.8	80 07 26	!KKH 37
3.19	7 28 52		69 12 19	!NGC 2366
3.39	8 19 05.9	70 42 51	!Holmberg II
3.55	8 23 56		71 01 46	!KDG52
3.56	8 34 6.5	66 10 45	!DDO 53
3.21	8 37 3		69 46 31	!U4483
3.84	9 40 28.2	71 11 11	!Holmberg I
3.56    9 47 15.6       67 54 49        !N2976
4.02	9 53 48.5	68 58 09	!BK 3N
3.87	9 57 29		69 16 20	!A0952
3.7	9 57 32.4	69 02 35	!HolmbergIX
3.82	10 3 21		68 44 02	!NGC 3077
3.82	10 3 42.0	68 41 36	!TheGarland
5.3	10 5 30.6	70 21 52	!UGC 5423
3.7	10 21 0.2	68 41 60	!HIJASS 1021
4.02	10 28 22.4	68 24 58	!IC2574
4	10 30 35	70 37 10	!DDO 82
7.4	10 49 36.5	65 31 50	!DDO 87
3.7	10 52 55.3	69 32 45	!KDG 73
4.34	11 27 59.9      78 59 39 	!UGC 6456
5.42	12 12 43.3	66 05 32	!UGC 7242
4.57	13 06 26.8	67 42 15	!DDO 165
